"Player","Year","Snaps","Outside%","LWide%","RWide%","Slot%","Backfield%","Off LOS%","On LOS%"
"Cooper Kupp","2019","449","33.9%","19.4%","14.5%","60.6%","5.3%","66.4%","33.4%"
"Courtland Sutton","2019","457","83.5%","48.1%","35.4%","15.3%","1.1%","26.5%","73.5%"
"Curtis Samuel","2019","491","69.7%","21.8%","47.9%","22.2%","8.1%","76.8%","23.2%"
"D.J. Chark","2019","457","74.7%","28.7%","46.0%","23.9%","1.5%","72.2%","27.8%"
"D.J. Moore","2019","520","84.6%","61.3%","23.3%","13.7%","1.7%","13.8%","86.2%"
"DK Metcalf","2019","486","89.1%","63.0%","26.1%","10.7%","0.2%","30.9%","69.1%"
"Darius Slayton","2019","429","91.8%","56.6%","35.2%","7.0%","1.2%","13.8%","86.2%"
"Davante Adams","2019","455","76.5%","43.5%","33.0%","22.0%","1.5%","39.8%","60.2%"
"DeAndre Hopkins","2019","538","68.2%","41.4%","26.8%","31.2%","0.6%","22.1%","77.9%"
"Deebo Samuel","2019","445","77.8%","47.0%","30.8%","17.1%","5.2%","30.3%","69.7%"
"DeVante Parker","2019","506","82.0%","45.8%","36.2%","18.0%","0.0%","23.1%","76.9%"
"Diontae Johnson","2019","351","93.1%","48.4%","44.7%","5.7%","1.1%","19.4%","80.6%"
"Emmanuel Sanders","2019","454","67.6%","29.5%","38.1%","26.9%","5.5%","48.7%","51.3%"
"Golden Tate","2019","462","22.3%","13.2%","9.1%","75.3%","2.4%","75.8%","24.2%"
"Hunter Renfrow","2019","321","29.9%","15.3%","14.6%","69.2%","0.9%","76.3%","23.7%"
"Jamison Crowder","2019","404","28.2%","15.8%","12.4%","69.3%","2.5%","87.9%","12.1%"
"Jarvis Landry","2019","491","46.0%","22.8%","23.2%","52.3%","1.6%","72.1%","27.9%"
"John Brown","2019","476","80.6%","48.9%","31.7%","19.1%","0.2%","17.6%","82.4%"
"JuJu Smith-Schuster","2019","424","35.2%","17.5%","17.7%","63.2%","1.7%","59.9%","40.1%"
"Julian Edelman","2019","447","42.0%","13.4%","28.6%","56.4%","1.6%","69.8%","30.2%"
"Julio Jones","2019","477","81.7%","46.5%","35.2%","17.2%","1.0%","27.5%","72.5%"
"Keenan Allen","2019","503","50.5%","25.8%","24.7%","46.9%","2.6%","52.5%","47.5%"
"Kenny Golladay","2019","451","84.2%","51.4%","32.8%","14.6%","1.1%","14.6%","85.4%"
"Marquise Brown","2019","377","70.8%","26.5%","44.3%","26.0%","3.2%","56.0%","44.0%"
"Marvin Jones","2019","440","65.9%","36.4%","29.5%","33.9%","0.2%","40.0%","60.0%"
"Michael Gallup","2019","499","88.6%","55.5%","33.1%","11.4%","0.0%","18.6%","81.4%"
"Michael Thomas","2019","461","72.6%","46.6%","26.0%","27.3%","0.0%","26.9%","73.1%"
"Mike Evans","2019","520","77.7%","41.9%","35.8%","22.1%","0.2%","17.5%","82.5%"
"Mike Williams","2019","416","78.4%","39.9%","38.5%","21.6%","0.0%","46.4%","53.6%"
"Odell Beckham","2019","517","83.0%","42.4%","40.6%","15.7%","1.4%","37.1%","62.9%"
"Preston Williams","2019","410","94.6%","60.0%","34.6%","5.1%","0.2%","7.3%","92.7%"
"Robert Woods","2019","546","66.8%","16.1%","50.7%","25.5%","7.7%","61.2%","38.8%"
"Sammy Watkins","2019","428","51.7%","26.2%","25.5%","47.7%","0.7%","47.4%","52.6%"
"Stefon Diggs","2019","443","84.7%","47.9%","36.8%","14.7%","0.7%","28.9%","71.1%"
"Sterling Shepard","2019","473","54.4%","21.8%","32.6%","43.3%","2.3%","69.6%","30.4%"
"T.Y. Hilton","2019","436","77.3%","35.8%","41.5%","22.5%","0.2%","56.0%","44.0%"
"Terry McLaurin","2019","447","82.8%","49.0%","33.8%","15.4%","1.8%","15.0%","85.0%"
"Tyler Boyd","2019","486","42.2%","25.7%","16.5%","52.1%","5.8%","52.9%","47.1%"
"Tyler Lockett","2019","513","30.0%","10.1%","19.9%","66.7%","3.3%","70.8%","29.2%"
"Tyreek Hill","2019","431","52.2%","23.0%","29.2%","44.5%","3.2%","43.4%","56.6%"
"Will Fuller","2019","484","73.3%","31.8%","41.5%","25.6%","1.0%","21.1%","78.9%"
"A.J. Green","2018","452","77.9%","41.4%","36.5%","21.9%","0.2%","22.1%","77.9%"
"Adam Thielen","2018","499","46.4%","22.0%","24.4%","52.9%","0.6%","61.3%","38.7%"
"Albert Wilson*","2018","229","62.9%","33.6%","29.3%","29.7%","7.4%","65.5%","34.5%"
"Allen Robinson","2018","492","64.3%","28.3%","36.0%","35.4%","0.4%","31.9%","68.1%"
"Alshon Jeffery","2018","463","84.7%","49.9%","34.8%","15.3%","0.0%","27.6%","72.4%"
"Amari Cooper","2018","503","70.7%","26.4%","44.3%","28.2%","1.0%","76.3%","23.7%"
"Anthony Miller","2018","374","23.6%","12.6%","11.0%","72.7%","3.7%","67.9%","32.1%"
"Antonio Brown","2018","557","76.5%","40.4%","36.1%","18.0%","0.2%","23.7%","76.3%"
"Brandin Cooks","2018","506","76.6%","63.2%","13.4%","20.9%","2.4%","21.1%","78.9%"
"Calvin Ridley","2018","348","75.6%","30.5%","45.1%","22.7%","1.7%","58.9%","41.1%"
"Chris Godwin","2018","392","69.4%","33.2%","36.2%","29.1%","1.5%","58.9%","41.1%"
"Christian Kirk","2018","374","68.8%","36.4%","32.4%","28.1%","3.2%","56.7%","43.3%"
"Cooper Kupp","2018","443","31.6%","14.7%","16.9%","64.3%","4.1%","56.2%","43.8%"
"Corey Davis","2018","462","70.4%","24.5%","45.9%","27.7%","1.9%","51.1%","48.9%"
"Courtland Sutton","2018","420","85.9%","57.1%","28.8%","14.0%","0.0%","18.8%","81.2%"
"Curtis Samuel","2018","406","71.0%","25.4%","45.6%","26.8%","2.2%","78.8%","21.2%"
"D.J. Moore","2018","476","64.5%","34.5%","30.0%","27.9%","7.6%","49.4%","50.6%"
"Dante Pettis","2018","427","66.8%","43.6%","23.2%","28.1%","5.2%","31.1%","68.9%"
"Davante Adams","2018","508","77.3%","48.8%","28.5%","22.2%","0.4%","33.9%","66.1%"
"DeAndre Hopkins","2018","546","82.2%","48.7%","33.5%","17.6%","0.2%","17.9%","82.1%"
"Dede Westbrook","2018","444","19.6%","9.9%","9.7%","77.0%","3.4%","59.9%","40.1%"
"DeSean Jackson","2018","382","80.4%","40.1%","40.3%","19.1%","0.5%","66.2%","33.8%"
"Geronimo Allison*","2018","242","86.0%","34.3%","51.7%","13.2%","0.8%","69.4%","30.6%"
"Golden Tate","2018","387","20.9%","8.0%","12.9%","75.2%","2.8%","89.4%","10.6%"
"Jarvis Landry","2018","460","36.1%","16.5%","19.6%","63.0%","0.9%","72.6%","27.4%"
"John Brown","2018","413","76.7%","28.3%","48.4%","22.5%","0.7%","55.9%","44.1%"
"JuJu Smith-Schuster","2018","511","44.2%","18.6%","25.6%","55.6%","0.2%","59.7%","40.3%"
"Julian Edelman","2018","456","34.2%","16.2%","18.0%","64.3%","1.5%","71.9%","28.1%"
"Julio Jones","2018","434","81.8%","48.2%","33.6%","17.7%","0.5%","28.1%","71.9%"
"Keenan Allen","2018","422","51.4%","26.8%","24.6%","48.3%","0.2%","57.6%","42.4%"
"Keke Coutee*","2018","269","26.8%","8.2%","18.6%","63.9%","9.3%","92.6%","7.4%"
"Kenny Golladay","2018","473","70.4%","28.5%","41.9%","28.3%","1.3%","42.3%","57.7%"
"Kenny Stills","2018","454","64.6%","33.5%","31.1%","35.0%","0.4%","54.6%","45.4%"
"Larry Fitzgerald","2018","444","27.5%","11.5%","16.0%","70.5%","2.0%","78.2%","21.8%"
"Marvin Jones","2018","499","90.4%","47.1%","43.3%","9.4%","0.2%","12.8%","87.2%"
"Michael Thomas","2018","479","73.7%","45.7%","28.0%","26.1%","0.2%","24.4%","75.6%"
"Mike Evans","2018","486","85.0%","49.8%","35.2%","15.0%","0.0%","20.0%","80.0%"
"Mike Williams","2018","364","75.3%","37.1%","38.2%","23.6%","1.1%","41.8%","58.2%"
"Mohamed Sanu","2018","403","29.3%","11.2%","18.1%","69.5%","1.2%","57.6%","42.4%"
"Odell Beckham","2018","507","73.5%","32.3%","41.2%","24.7%","1.8%","57.6%","42.4%"
"Robby Anderson","2018","431","83.5%","45.0%","38.5%","15.1%","1.4%","35.0%","65.0%"
"Robert Woods","2018","482","48.2%","13.3%","34.9%","49.6%","2.3%","61.2%","38.8%"
"Sammy Watkins","2018","466","64.2%","35.0%","29.2%","35.2%","0.6%","41.8%","58.2%"
"Stefon Diggs","2018","478","72.3%","37.2%","35.1%","26.6%","0.2%","57.7%","42.3%"
"Sterling Shepard","2018","470","40.6%","19.1%","21.5%","58.1%","1.3%","77.7%","22.3%"
"T.Y. Hilton","2018","486","69.2%","23.7%","45.5%","29.4%","1.4%","64.8%","35.2%"
"Tyler Boyd","2018","471","26.1%","13.8%","12.3%","72.2%","1.7%","80.3%","19.7%"
"Tyler Lockett","2018","493","53.2%","13.8%","39.4%","44.2%","2.6%","83.2%","16.8%"
"Tyreek Hill","2018","463","53.5%","25.9%","27.6%","38.2%","8.2%","60.5%","39.5%"
"Will Fuller*","2018","385","75.1%","29.9%","45.2%","23.6%","1.3%","34.3%","65.7%"
"A.J. Green","2017","454","88.1%","46.0%","42.1%","11.2%","0.7%","18.7%","81.3%"
"Adam Thielen","2017","521","58.3%","30.7%","27.6%","40.1%","1.5%","54.5%","45.5%"
"Allen Hurns","2017","457","43.7%","17.9%","25.8%","56.0%","0.2%","53.4%","46.6%"
"Alshon Jeffery","2017","463","84.7%","49.9%","34.8%","15.1%","0.2%","27.6%","72.4%"
"Amari Cooper","2017","458","83.2%","42.8%","40.4%","16.4%","0.4%","21.2%","78.8%"
"Antonio Brown","2017","556","91.4%","56.1%","35.3%","8.6%","0.0%","16.2%","83.8%"
"Brandin Cooks","2017","542","89.1%","54.4%","34.7%","10.5%","0.4%","18.6%","81.4%"
"Chris Hogan","2017","460","56.7%","32.8%","23.9%","42.4%","0.9%","49.3%","50.7%"
"Cooper Kupp","2017","438","41.5%","24.4%","17.1%","58.2%","0.2%","49.8%","50.2%"
"Corey Davis","2017","410","92.7%","55.4%","37.3%","7.3%","0.0%","20.2%","79.8%"
"Davante Adams","2017","476","85.9%","46.2%","39.7%","13.7%","0.4%","27.5%","72.5%"
"DeAndre Hopkins","2017","556","87.3%","53.8%","33.5%","12.6%","0.2%","11.7%","88.3%"
"Demaryius Thomas","2017","460","90.0%","56.1%","33.9%","9.1%","0.9%","19.1%","80.9%"
"DeSean Jackson","2017","396","79.8%","40.4%","39.4%","19.7%","0.5%","64.6%","35.4%"
"DeVante Parker","2017","472","82.4%","45.3%","37.1%","17.6%","0.0%","10.4%","89.6%"
"Devin Funchess","2017","464","84.2%","47.8%","36.4%","15.7%","0.0%","34.7%","65.3%"
"Dez Bryant","2017","432","82.9%","53.0%","29.9%","17.1%","0.0%","10.0%","90.0%"
"Doug Baldwin","2017","431","25.8%","10.0%","15.8%","72.2%","2.1%","64.0%","36.0%"
"Emmanuel Sanders","2017","452","71.5%","27.7%","43.8%","28.1%","0.4%","75.7%","24.3%"
"Golden Tate","2017","415","21.0%","9.9%","11.1%","79.0%","0.0%","87.5%","12.5%"
"Jamison Crowder","2017","369","29.3%","8.4%","20.9%","69.4%","1.4%","69.4%","30.6%"
"Jarvis Landry","2017","467","33.8%","16.9%","16.9%","64.7%","1.5%","82.2%","17.8%"
"Jordy Nelson","2017","450","71.8%","30.2%","41.6%","28.0%","0.2%","57.3%","42.7%"
"Josh Doctson","2017","472","85.1%","45.3%","39.8%","13.8%","1.1%","25.4%","74.6%"
"Josh Gordon*","2017","258","77.9%","29.5%","48.4%","20.9%","1.2%","64.0%","36.0%"
"JuJu Smith-Schuster","2017","449","43.4%","18.0%","25.4%","55.5%","1.1%","65.9%","34.1%"
"Julio Jones","2017","372","78.7%","44.6%","34.1%","21.0%","0.3%","24.5%","75.5%"
"Keelan Cole","2017","459","57.7%","29.2%","28.5%","41.8%","0.4%","58.0%","42.0%"
"Keenan Allen","2017","434","52.7%","28.3%","24.4%","47.0%","0.2%","58.3%","41.7%"
"Kelvin Benjamin","2017","407","85.0%","55.5%","29.5%","15.0%","0.0%","20.4%","79.6%"
"Kenny Golladay","2017","404","69.8%","28.5%","41.3%","27.0%","3.2%","36.1%","63.9%"
"Kenny Stills","2017","479","61.1%","31.7%","29.4%","38.8%","0.0%","54.7%","45.3%"
"Larry Fitzgerald","2017","501","35.8%","19.0%","16.8%","62.5%","1.8%","75.2%","24.8%"
"Marqise Lee","2017","472","83.3%","44.3%","39.0%","15.5%","1.3%","73.1%","26.9%"
"Marquise Goodwin","2017","465","79.1%","53.1%","26.0%","19.4%","1.5%","29.0%","71.0%"
"Marvin Jones","2017","499","90.4%","47.1%","43.3%","9.4%","0.2%","12.8%","87.2%"
"Michael Crabtree","2017","367","77.7%","35.7%","42.0%","22.1%","0.3%","78.5%","21.5%"
"Michael Thomas","2017","447","83.0%","53.0%","30.0%","17.0%","0.0%","25.3%","74.7%"
"Mike Evans","2017","457","82.0%","45.7%","36.3%","17.9%","0.0%","25.8%","74.2%"
"Nelson Agholor","2017","450","14.8%","8.4%","6.4%","83.1%","2.0%","76.0%","24.0%"
"Paul Richardson","2017","427","88.3%","53.9%","34.4%","11.7%","0.0%","30.2%","69.8%"
"Pierre Garcon","2017","450","75.1%","28.0%","47.1%","23.8%","1.1%","48.2%","51.8%"
"Randall Cobb","2017","386","18.9%","8.8%","10.1%","73.8%","7.3%","82.1%","17.9%"
"Rishard Matthews","2017","407","71.0%","24.1%","46.9%","27.0%","2.0%","62.7%","37.3%"
"Robby Anderson","2017","437","74.9%","32.3%","42.6%","23.3%","1.8%","64.5%","35.5%"
"Robert Woods","2017","411","70.6%","52.8%","17.8%","26.8%","2.7%","62.0%","38.0%"
"Sammy Watkins","2017","455","77.2%","54.3%","22.9%","22.9%","0.0%","9.7%","90.3%"
"Stefon Diggs","2017","438","66.2%","23.7%","42.5%","29.2%","4.6%","75.6%","24.4%"
"Sterling Shepard","2017","536","22.6%","8.8%","13.8%","76.3%","1.1%","43.7%","56.3%"
"T.Y. Hilton","2017","491","67.4%","22.4%","45.0%","31.2%","1.4%","65.0%","35.0%"
"Tyler Lockett","2017","386","49.0%","19.2%","29.8%","49.7%","1.3%","74.9%","25.1%"
"Tyreek Hill","2017","408","59.1%","27.0%","32.1%","37.5%","3.4%","62.0%","38.0%"
"Will Fuller","2017","497","73.7%","27.8%","45.9%","25.4%","1.0%","29.4%","70.6%"
"A.J. Green","2016","466","83.0%","40.3%","42.7%","14.8%","2.1%","30.5%","69.5%"
"Adam Thielen","2016","499","72.8%","31.9%","40.9%","24.4%","2.8%","36.5%","63.5%"
"Allen Robinson","2016","556","81.1%","38.7%","42.4%","18.9%","0.0%","16.7%","83.3%"
"Alshon Jeffery","2016","465","83.2%","30.3%","52.9%","16.8%","0.0%","11.8%","88.2%"
"Amari Cooper","2016","531","88.0%","31.3%","56.7%","11.5%","0.6%","20.9%","79.1%"
"Antonio Brown","2016","518","85.7%","35.7%","50.0%","12.0%","2.3%","19.9%","80.1%"
"Brandin Cooks","2016","467","63.0%","37.3%","25.7%","36.8%","0.2%","69.4%","30.6%"
"Brandon Marshall","2016","521","86.6%","38.4%","48.2%","13.4%","0.0%","15.4%","84.6%"
"Cameron Meredith","2016","482","50.0%","30.1%","19.9%","50.0%","0.0%","70.3%","29.7%"
"Chris Conley","2016","462","88.1%","44.4%","43.7%","11.0%","0.9%","44.8%","55.2%"
"Corey Coleman","2016","445","95.5%","36.6%","58.9%","3.8%","0.7%","19.3%","80.7%"
"Davante Adams","2016","511","88.3%","33.5%","54.8%","11.0%","0.8%","49.7%","50.3%"
"DeAndre Hopkins","2016","544","84.0%","34.7%","49.3%","14.5%","1.5%","16.5%","83.5%"
"Demaryius Thomas","2016","510","78.9%","41.8%","37.1%","19.2%","2.0%","37.5%","62.5%"
"DeSean Jackson","2016","348","75.0%","39.9%","35.1%","25.0%","0.0%","76.1%","23.9%"
"DeVante Parker","2016","431","83.6%","41.8%","41.8%","16.5%","0.0%","15.5%","84.5%"
"Dez Bryant","2016","467","87.6%","36.0%","51.6%","12.4%","0.0%","22.1%","77.9%"
"Donte Moncrief","2016","463","75.8%","28.3%","47.5%","21.4%","2.8%","29.2%","70.8%"
"Doug Baldwin","2016","382","16.5%","8.4%","8.1%","83.0%","0.5%","60.5%","39.5%"
"Emmanuel Sanders","2016","468","73.9%","42.7%","31.2%","25.4%","0.6%","73.5%","26.5%"
"Golden Tate","2016","439","73.5%","41.5%","32.0%","26.0%","2.5%","75.2%","24.8%"
"Jamison Crowder","2016","413","26.8%","14.0%","12.8%","71.4%","1.7%","63.0%","37.0%"
"Jarvis Landry","2016","469","31.8%","15.6%","16.2%","67.6%","0.6%","87.8%","12.2%"
"Jeremy Maclin","2016","482","59.7%","34.0%","25.7%","39.0%","1.2%","48.8%","51.2%"
"John Brown","2016","400","67.1%","31.8%","35.3%","33.0%","0.0%","33.3%","66.8%"
"Jordan Matthews","2016","541","45.5%","22.2%","23.3%","54.5%","0.0%","59.1%","40.9%"
"Jordy Nelson","2016","510","73.8%","46.3%","27.5%","25.1%","1.2%","59.6%","40.4%"
"Julian Edelman","2016","456","48.7%","32.5%","16.2%","49.8%","1.5%","71.9%","28.1%"
"Julio Jones","2016","400","76.5%","26.5%","50.0%","22.8%","0.8%","27.0%","73.0%"
"Kelvin Benjamin","2016","451","82.7%","30.6%","52.1%","17.3%","0.0%","22.0%","78.0%"
"Kenny Britt","2016","433","85.0%","32.6%","52.4%","15.0%","0.0%","10.6%","89.4%"
"Larry Fitzgerald","2016","508","39.2%","18.5%","20.7%","59.1%","1.8%","79.5%","20.5%"
"Michael Crabtree","2016","382","71.6%","47.3%","24.3%","26.0%","2.0%","40.6%","59.4%"
"Michael Thomas","2016","473","87.3%","28.3%","59.0%","12.7%","0.0%","30.9%","69.1%"
"Mike Evans","2016","480","85.9%","36.3%","49.6%","14.2%","0.0%","22.9%","77.1%"
"Mike Wallace","2016","410","81.0%","36.0%","45.0%","18.0%","1.0%","72.7%","27.3%"
"Odell Beckham","2016","506","86.9%","37.9%","49.0%","12.1%","1.0%","56.9%","43.1%"
"Pierre Garcon","2016","392","81.1%","30.6%","50.5%","18.9%","0.0%","18.1%","81.9%"
"Quincy Enunwa","2016","429","26.3%","12.1%","14.2%","71.3%","2.3%","82.1%","17.9%"
"Randall Cobb","2016","455","17.2%","8.6%","8.6%","76.0%","6.8%","56.9%","43.1%"
"Rishard Matthews","2016","452","75.0%","44.2%","30.8%","22.8%","2.2%","64.4%","35.6%"
"Stefon Diggs","2016","420","42.4%","26.7%","15.7%","56.4%","1.2%","71.7%","28.3%"
"Sterling Shepard","2016","499","12.2%","7.0%","5.2%","87.8%","0.0%","42.7%","57.3%"
"T.Y. Hilton","2016","517","49.5%","21.1%","28.4%","49.9%","0.6%","62.1%","37.9%"
"Terrelle Pryor","2016","469","83.2%","38.2%","45.0%","13.0%","3.8%","49.0%","51.0%"
"Tyreek Hill","2016","285","55.5%","26.0%","29.5%","41.1%","3.5%","73.0%","27.0%"
"Tyrell Williams","2016","491","79.2%","38.9%","40.3%","20.6%","0.2%","36.7%","63.3%"
"Willie Snead","2016","390","22.1%","12.6%","9.5%","77.4%","0.5%","59.0%","41.0%"
"Tyler Lockett","2016","367","66.7%","37.3%","29.4%","31.3%","1.9%","67.6%","32.4%"
"A.J. Green","2015","466","83.0%","40.3%","42.7%","14.8%","2.1%","","69.5%"
"Albert Wilson","2015","375","89.3%","42.9%","46.4%","7.7%","2.9%","34.4%","65.6%"
"Allen Robinson","2015","470","84.9%","43.4%","41.5%","15.1%","0.0%","28.5%","71.5%"
"Amari Cooper","2015","467","86.3%","35.1%","51.2%","13.1%","0.6%","30.6%","69.4%"
"Anquan Boldin","2015","410","43.7%","23.2%","20.5%","55.9%","0.5%","72.4%","27.6%"
"Brandin Cooks","2015","494","72.9%","29.4%","43.5%","25.9%","1.2%","48.2%","51.8%"
"Bruce Ellington","2015","131","74.8%","41.2%","33.6%","22.1%","3.1%","58.8%","41.2%"
"Calvin Johnson","2015","471","86.2%","33.3%","52.9%","13.4%","0.4%","16.6%","83.4%"
"DeSean Jackson","2015","348","75.0%","39.9%","35.1%","25.0%","0.0%","76.1%","23.9%"
"DeVante Parker","2015","428","87.8%","41.8%","46.0%","12.1%","0.0%","26.2%","73.8%"
"Devin Funchess","2015","318","84.0%","39.0%","45.0%","14.5%","1.6%","25.8%","74.2%"
"Donte Moncrief","2015","423","87.2%","28.1%","59.1%","10.6%","2.1%","18.2%","81.8%"
"Dorial Green-Beckham","2015","368","89.6%","41.0%","48.6%","10.3%","0.0%","11.7%","88.3%"
"Doug Baldwin","2015","382","16.5%","8.4%","8.1%","83.0%","0.5%","60.5%","39.5%"
"Eric Decker","2015","484","31.8%","17.1%","14.7%","65.1%","3.1%","80.4%","19.6%"
"Golden Tate","2015","439","47.0%","28.5%","18.5%","50.6%","2.5%","75.2%","24.8%"
"Jamison Crowder","2015","412","21.2%","9.5%","11.7%","75.2%","3.6%","65.8%","34.2%"
"John Brown","2015","467","70.4%","35.3%","35.1%","29.6%","0.0%","55.9%","44.1%"
"Kamar Aiken","2015","453","77.3%","35.1%","42.2%","21.9%","0.9%","51.9%","48.1%"
"Keenan Allen","2015","548","84.3%","34.1%","50.2%","15.0%","0.7%","38.9%","61.1%"
"Martavis Bryant","2015","408","86.8%","50.5%","36.3%","13.0%","0.2%","46.8%","53.2%"
"Marvin Jones","2015","444","83.1%","36.9%","46.2%","16.0%","0.9%","69.8%","30.2%"
"Mike Evans","2015","475","83.2%","40.0%","43.2%","16.8%","0.0%","20.0%","80.0%"
"Nelson Agholor","2015","462","79.8%","78.1%","1.7%","19.7%","0.4%","43.1%","56.9%"
"Sammy Watkins","2015","454","88.3%","27.1%","61.2%","10.6%","1.1%","22.5%","77.5%"
"Stefon Diggs","2015","416","88.5%","20.0%","68.5%","10.8%","0.7%","7.7%","92.8%"
"Torrey Smith","2015","365","93.7%","32.9%","60.8%","6.3%","0.0%","21.6%","78.4%"
"Travis Benjamin","2015","397","88.6%","42.8%","45.8%","11.6%","0.3%","27.7%","72.3%"
"Tyler Lockett","2015","340","73.8%","41.2%","32.6%","26.2%","0.0%","76.8%","23.2%"
"Willie Snead","2015","435","75.0%","43.0%","32.0%","28.4%","0.2%","60.7%","39.3%"
"Allen Robinson","2014","388","89.2%","26.8%","62.4%","10.6%","0.3%","19.3%","80.7%"
"Andre Johnson","2014","507","82.2%","34.1%","48.1%","16.0%","1.8%","20.9%","79.1%"
"Antonio Brown","2014","518","85.7%","35.7%","50.0%","12.0%","2.3%","19.9%","80.1%"
"Brandin Cooks","2014","423","75.6%","30.7%","44.9%","22.7%","1.7%","44.9%","55.1%"
"Charles Johnson","2014","373","86.9%","34.6%","52.3%","12.9%","0.3%","25.5%","74.5%"
"Davante Adams","2014","450","92.8%","38.4%","54.4%","7.1%","0.0%","59.6%","40.4%"
"Demaryius Thomas","2014","510","78.9%","41.8%","37.1%","19.2%","2.0%","37.5%","62.5%"
"Dez Bryant","2014","467","87.6%","36.0%","51.6%","12.4%","0.0%","22.1%","77.9%"
"Donte Moncrief","2014","262","75.2%","42.0%","33.2%","20.6%","4.2%","60.7%","39.3%"
"Dwayne Bowe","2014","422","71.3%","37.4%","33.9%","26.8%","1.9%","57.6%","42.4%"
"Jarvis Landry","2014","347","17.5%","8.9%","8.6%","79.3%","3.2%","64.8%","35.2%"
"John Brown","2014","333","61.8%","27.0%","34.8%","37.8%","0.3%","30.3%","69.7%"
"Jordan Matthews","2014","356","5.0%","2.5%","2.5%","94.9%","0.0%","97.5%","2.5%"
"Justin Hunter","2014","414","86.0%","38.4%","47.6%","13.3%","0.7%","14.3%","85.7%"
"Kelvin Benjamin","2014","454","90.4%","30.0%","60.4%","9.7%","0.0%","20.7%","79.3%"
"Kenny Stills","2014","349","84.2%","47.0%","37.2%","15.2%","0.6%","68.2%","31.8%"
"Marqise Lee","2014","406","56.7%","36.5%","20.2%","42.1%","1.2%","70.2%","29.8%"
"Martavis Bryant","2014","218","86.3%","45.9%","40.4%","13.8%","0.0%","53.6%","46.4%"
"Michael Crabtree","2014","382","81.4%","36.1%","45.3%","18.1%","0.5%","40.6%","59.4%"
"Mike Evans","2014","452","72.6%","37.2%","35.4%","27.4%","0.0%","66.4%","33.6%"
"Mike Wallace","2014","410","77.1%","43.7%","33.4%","20.2%","2.7%","72.7%","27.3%"
"Odell Beckham","2014","510","86.8%","53.9%","32.9%","12.2%","1.0%","62.2%","37.8%"
"Paul Richardson","2014","340","92.4%","40.3%","52.1%","7.6%","0.0%","36.2%","63.8%"
"Percy Harvin","2014","351","46.5%","32.5%","14.0%","42.2%","11.4%","83.2%","16.8%"
"Randall Cobb","2014","431","15.5%","4.4%","11.1%","82.1%","2.3%","34.8%","65.2%"
"Sammy Watkins","2014","525","93.6%","42.9%","50.7%","5.9%","0.6%","21.0%","79.0%"
"Stevie Johnson","2014","231","68.0%","31.2%","36.8%","31.6%","0.4%","30.5%","66.2%"
